
OpenBGPD

still a production quality and very fast bgp implementation

<henning@cr10>  $ bgpctl s s
Neighbor             AS    MsgRcvd    MsgSent    OutQ  Up/Down  State/PrefixRcvd
hansenet             13184      70227      70193     0 03w3d08h     22/50
nmmn                 20694     129903     129858     0 06w3d02h      5/20
easynet               4589     131998     129855     0 06w3d02h    229/500
terralink            24905     129895     129855     0 06w3d02h      3/20
pironet-ndh           8469     130561     129851     0 06w1d23h     43/80
netuse                5605     131122     129860     0 06w2d05h     14/40
cix.at               20751     127110     127117     0 3d04h00m      9/25
christiansen         34181     129847     129825     0 01w6d08h      1/50
carrier66            24953     130081     130057     0 02w1d04h     11/50
otto                 16378     128288     128231     0 03w2d05h      1/5
inetbone             25074     132217     129816     0 4d18h44m    198/400
Headlight             6666      20984      20931     0 05w2d19h Active
ISC                   8805     129871     129856     0 06w3d02h      5/20
Artfiles              8893     129875     129857     0 02w1d19h      7/20
TNG                  13101     130140     129856     0 4d20h54m     22/50
wizard.de            12923     129854     129852     0 04w3d14h      2/5
MCS Cityline          5521     129848     129833     0 4d20h52m      6/20
smartnet             12485      28422      28425     0 05w0d05h Active
lynet                12822     129442     129443     0 5d12h46m      2/5
OMCnet               15388     129854     129858     0 06w3d02h      1/5
freenet               5430     129979     129815     0 05w2d00h     37/50
crew-kg              13135     129834     129813     0 4d18h44m      8/20
shlink.de            12518     129860     129858     0 06w3d02h      2/20
ppp.net               8687     130037     129856     0 06w3d02h     12/20
n@work                9211     129977     129693     0 05w3d11h     16/25
cogent                 174    4651737     129758     0 01w0d05h 171482
lambdanet            13237    9813587     129859     0 06w3d02h 173146
br20                 64513     129865     129858     0 06w3d02h      4
cr11                 24640    8172548    8177835     0 06w3d02h 173888
amd64.hack           65009     106526    7941148     0 02w1d08h      0


